key,key:userAccount,name,benefits,web-page,email
sponsor-03.7,user-account-sponsor-03.7,Lorem ipsum,국민경제의 발전을,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-04.1,user-account-sponsor-04.1,Lorem ipsum,Lorem ipsum,ftp://a,acme@lorem-ipsum.org
sponsor-04.2,user-account-sponsor-04.2,Lorem ipsum,Lorem ipsum,ftp://ab,acme@lorem-ipsum.org
sponsor-04.3,user-account-sponsor-04.3,Lorem ipsum,Lorem ipsum,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aut/",acme@lorem-ipsum.org
sponsor-04.4,user-account-sponsor-04.4,Lorem ipsum,Lorem ipsum,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",acme@lorem-ipsum.org
sponsor-04.5,user-account-sponsor-04.5,Lorem ipsum,Lorem ipsum,https://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-04.6,user-account-sponsor-04.6,Lorem ipsum,Lorem ipsum,ftp://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-04.7,user-account-sponsor-04.7,Lorem ipsum,Lorem ipsum,http://www.lorem-ipsum.org/dolor/sit.html,acme@lorem-ipsum.org
sponsor-04.8,user-account-sponsor-04.8,Lorem ipsum,Lorem ipsum,http://www.lorem-ipsum.org/dolor/sit.html#dolor,acme@lorem-ipsum.org
sponsor-04.9,user-account-sponsor-04.9,Lorem ipsum,Lorem ipsum,http://example.org?a=1&b=2,acme@lorem-ipsum.org
sponsor-04.10,user-account-sponsor-04.10,Lorem ipsum,Lorem ipsum,http://example.org?,acme@lorem-ipsum.org
sponsor-04.11,user-account-sponsor-04.11,Lorem ipsum,Lorem ipsum,http://example.org?a,acme@lorem-ipsum.org
sponsor-04.12,user-account-sponsor-04.12,Lorem ipsum,Lorem ipsum,http://example.org?a&b,acme@lorem-ipsum.org
sponsor-04.13,user-account-sponsor-04.13,Lorem ipsum,Lorem ipsum,http://example.org/,acme@lorem-ipsum.org
sponsor-04.14,user-account-sponsor-04.14,Lorem ipsum,Lorem ipsum,http://example.org/a,acme@lorem-ipsum.org
sponsor-04.15,user-account-sponsor-04.15,Lorem ipsum,Lorem ipsum,http://example.org/a/b,acme@lorem-ipsum.org
sponsor-04.16,user-account-sponsor-04.16,Lorem ipsum,Lorem ipsum,http://example.org/a/b?,acme@lorem-ipsum.org
sponsor-04.17,user-account-sponsor-04.17,Lorem ipsum,Lorem ipsum,http://example.org/a/b?a&b,acme@lorem-ipsum.org
sponsor-04.18,user-account-sponsor-04.18,Lorem ipsum,Lorem ipsum,null,acme@lorem-ipsum.org
sponsor-04.19,user-account-sponsor-04.19,Lorem ipsum,Lorem ipsum,,acme@lorem-ipsum.org
sponsor-05.1,user-account-sponsor-05.1,Lorem ipsum,Lorem ipsum,http://www.lorem-ipsum.org,a@b.es
sponsor-05.2,user-account-sponsor-05.2,Lorem ipsum,Lorem ipsum,http://www.lorem-ipsum.org,a@b.esx
sponsor-05.3,user-account-sponsor-05.3,Lorem ipsum,Lorem ipsum,http://www.lorem-ipsum.org,lorem-ipsum@dolor.sit.amet.a.consectetur.adipiscing.el.it.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es
sponsor-05.4,user-account-sponsor-05.4,Lorem ipsum,Lorem ipsum,http://www.lorem-ipsum.org,lorem-ipsum@dolor.sit.amet.a.consectetur.adipiscing.el.it.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.org
sponsor-05.5,user-account-sponsor-05.5,Lorem ipsum,Lorem ipsum,http://www.lorem-ipsum.org,null
sponsor-05.6,user-account-sponsor-05.6,Lorem ipsum,Lorem ipsum,http://www.lorem-ipsum.org,
