key,enabled,identity,password,username
user-account-sponsor-02.6,true,"UserIdentity{name: 'Sponsor', surname: '2.6', email: 'sponsor2.6@acme.com'}",sponsor2.6,sponsor2.6
user-account-sponsor-02.7,true,"UserIdentity{name: 'Sponsor', surname: '2.7', email: 'sponsor2.7@acme.com'}",sponsor2.7,sponsor2.7
user-account-sponsor-03.1,true,"UserIdentity{name: 'Sponsor', surname: '3.1', email: 'sponsor3.1@acme.com'}",sponsor3.1,sponsor3.1
user-account-sponsor-03.2,true,"UserIdentity{name: 'Sponsor', surname: '3.2', email: 'sponsor3.2@acme.com'}",sponsor3.2,sponsor3.2
user-account-sponsor-03.3,true,"UserIdentity{name: 'Sponsor', surname: '3.3', email: 'sponsor3.3@acme.com'}",sponsor3.3,sponsor3.3
user-account-sponsor-03.4,true,"UserIdentity{name: 'Sponsor', surname: '3.4', email: 'sponsor3.4@acme.com'}",sponsor3.4,sponsor3.4
user-account-sponsor-03.5,true,"UserIdentity{name: 'Sponsor', surname: '3.5', email: 'sponsor3.5@acme.com'}",sponsor3.5,sponsor3.5
user-account-sponsor-03.6,true,"UserIdentity{name: 'Sponsor', surname: '3.6', email: 'sponsor3.6@acme.com'}",sponsor3.6,sponsor3.6
user-account-sponsor-03.7,true,"UserIdentity{name: 'Sponsor', surname: '3.7', email: 'sponsor3.7@acme.com'}",sponsor3.7,sponsor3.7
user-account-sponsor-04.1,true,"UserIdentity{name: 'Sponsor', surname: '4.1', email: 'sponsor4.1@acme.com'}",sponsor4.1,sponsor4.1
user-account-sponsor-04.2,true,"UserIdentity{name: 'Sponsor', surname: '4.2', email: 'sponsor4.2@acme.com'}",sponsor4.2,sponsor4.2
user-account-sponsor-04.3,true,"UserIdentity{name: 'Sponsor', surname: '4.3', email: 'sponsor4.3@acme.com'}",sponsor4.3,sponsor4.3
user-account-sponsor-04.4,true,"UserIdentity{name: 'Sponsor', surname: '4.4', email: 'sponsor4.4@acme.com'}",sponsor4.4,sponsor4.4
user-account-sponsor-04.5,true,"UserIdentity{name: 'Sponsor', surname: '4.5', email: 'sponsor4.5@acme.com'}",sponsor4.5,sponsor4.5
user-account-sponsor-04.6,true,"UserIdentity{name: 'Sponsor', surname: '4.6', email: 'sponsor4.6@acme.com'}",sponsor4.6,sponsor4.6
user-account-sponsor-04.7,true,"UserIdentity{name: 'Sponsor', surname: '4.7', email: 'sponsor4.7@acme.com'}",sponsor4.7,sponsor4.7
user-account-sponsor-04.8,true,"UserIdentity{name: 'Sponsor', surname: '4.8', email: 'sponsor4.8@acme.com'}",sponsor4.8,sponsor4.8
user-account-sponsor-04.9,true,"UserIdentity{name: 'Sponsor', surname: '4.9', email: 'sponsor4.9@acme.com'}",sponsor4.9,sponsor4.9
user-account-sponsor-04.10,true,"UserIdentity{name: 'Sponsor', surname: '4.10', email: 'sponsor4.10@acme.com'}",sponsor4.10,sponsor4.10
user-account-sponsor-04.11,true,"UserIdentity{name: 'Sponsor', surname: '4.11', email: 'sponsor4.11@acme.com'}",sponsor4.11,sponsor4.11
user-account-sponsor-04.12,true,"UserIdentity{name: 'Sponsor', surname: '4.12', email: 'sponsor4.12@acme.com'}",sponsor4.12,sponsor4.12
user-account-sponsor-04.13,true,"UserIdentity{name: 'Sponsor', surname: '4.13', email: 'sponsor4.13@acme.com'}",sponsor4.13,sponsor4.13
user-account-sponsor-04.14,true,"UserIdentity{name: 'Sponsor', surname: '4.14', email: 'sponsor4.14@acme.com'}",sponsor4.14,sponsor4.14
user-account-sponsor-04.15,true,"UserIdentity{name: 'Sponsor', surname: '4.15', email: 'sponsor4.15@acme.com'}",sponsor4.15,sponsor4.15
user-account-sponsor-04.16,true,"UserIdentity{name: 'Sponsor', surname: '4.16', email: 'sponsor4.16@acme.com'}",sponsor4.16,sponsor4.16
user-account-sponsor-04.17,true,"UserIdentity{name: 'Sponsor', surname: '4.17', email: 'sponsor4.17@acme.com'}",sponsor4.17,sponsor4.17
user-account-sponsor-04.18,true,"UserIdentity{name: 'Sponsor', surname: '4.18', email: 'sponsor4.18@acme.com'}",sponsor4.18,sponsor4.18
user-account-sponsor-04.19,true,"UserIdentity{name: 'Sponsor', surname: '4.19', email: 'sponsor4.19@acme.com'}",sponsor4.19,sponsor4.19
user-account-sponsor-05.1,true,"UserIdentity{name: 'Sponsor', surname: '5.1', email: 'sponsor5.1@acme.com'}",sponsor5.1,sponsor5.1
user-account-sponsor-05.2,true,"UserIdentity{name: 'Sponsor', surname: '5.2', email: 'sponsor5.2@acme.com'}",sponsor5.2,sponsor5.2
user-account-sponsor-05.3,true,"UserIdentity{name: 'Sponsor', surname: '5.3', email: 'sponsor5.3@acme.com'}",sponsor5.3,sponsor5.3
user-account-sponsor-05.4,true,"UserIdentity{name: 'Sponsor', surname: '5.4', email: 'sponsor5.4@acme.com'}",sponsor5.4,sponsor5.4
user-account-sponsor-05.5,true,"UserIdentity{name: 'Sponsor', surname: '5.5', email: 'sponsor5.5@acme.com'}",sponsor5.5,sponsor5.5
user-account-sponsor-05.6,true,"UserIdentity{name: 'Sponsor', surname: '5.6', email: 'sponsor5.6@acme.com'}",sponsor5.6,sponsor5.6
user-account-sponsor-05.7,true,"UserIdentity{name: 'Sponsor', surname: '5.7', email: 'sponsor5.7@acme.com'}",sponsor5.7,sponsor5.7
